canned corn,just some corn in a can,21,default, |Vegan|Vegetarian|Gluten-free|Dairy-free|Nut-free|Sugar-free|Halal|Kosher
boxed pasta,just pasta in a box,2,default, |Vegan|Vegetarian|Dairy-free|Nut-free|Non-GMO|Sugar-free|Halal|Kosher
canned tuna,something smells a bit fishy,1,default, |Gluten-free|Dairy-free|Nut-free|Halal|Kosher
applesauce,blended apples..?,34,default, |Vegan|Vegetarian|Gluten-free|Dairy-free|Nut-free|Halal|Kosher
instant mashed potatoes,better than homemade?,64,default, |Vegan|Vegetarian|Nut-free|Sugar-free|Halal|Kosher
cereal,you better put this in the bowl before the milk,3,default, Vegan|Vegetarian|Dairy-free|Nut-free|Halal|Kosher
canola oil,what even is a canola,12,default, |Vegan|Vegetarian|Gluten-free|Dairy-free|Nut-free|Non-GMO|Sugar-free|Halal|Kosher
canned beans,what type? who knows,5,default, |Vegan|Vegetarian|Gluten-free|Dairy-free|Nut-free|Non-GMO|Sugar-free|Halal|Kosher
powdered milk,how do they even do this??,8,default, |Vegetarian|Gluten-free|Nut-free|Non-GMO|Sugar-free|Halal|Kosher
orange juice,better without pulp tbh,3,second, |Vegan|Vegetarian|Gluten-free|Dairy-free|Nut-free|Halal|Kosher
